EpsgNumber|CrsName|AreaName
2000|Anguilla 1957 / British West Indies Grid|Anguilla - onshore
2001|Antigua 1943 / British West Indies Grid|Antigua - onshore
2002|Dominica 1945 / British West Indies Grid|Dominica - onshore
2003|Grenada 1953 / British West Indies Grid|Grenada and southern Grenadines - onshore
2004|Montserrat 1958 / British West Indies Grid|Montserrat - onshore
2005|St. Kitts 1955 / British West Indies Grid|St Kitts and Nevis - onshore
2006|St. Lucia 1955 / British West Indies Grid|St Lucia - onshore
2007|St. Vincent 45 / British West Indies Grid|St Vincent and the Grenadines - onshore
2008|NAD27(CGQ77) / SCoPQ zone 2|Canada - Quebec - east of 57°W
2009|NAD27(CGQ77) / SCoPQ zone 3|Canada - Quebec - east of 60°W
2010|NAD27(CGQ77) / SCoPQ zone 4|Canada - Quebec - 63°W to 60°W
2011|NAD27(CGQ77) / SCoPQ zone 5|Canada - Quebec - 66°W to 63°W
2012|NAD27(CGQ77) / SCoPQ zone 6|Canada - Quebec - 69°W to 66°W
2013|NAD27(CGQ77) / SCoPQ zone 7|Canada - Quebec - 72°W to 69°W
2014|NAD27(CGQ77) / SCoPQ zone 8|Canada - Quebec - 75°W to 72°W
2015|NAD27(CGQ77) / SCoPQ zone 9|Canada - Quebec - 78°W to 75°W
2016|NAD27(CGQ77) / SCoPQ zone 10|Canada - Quebec - west of 78°W
2017|NAD27(76) / MTM zone 8|Canada - Ontario - east of 75°W
2018|NAD27(76) / MTM zone 9|Canada - Ontario - 78°W to 75°W
2019|NAD27(76) / MTM zone 10|Canada - Ontario - MTM zone 10
2020|NAD27(76) / MTM zone 11|Canada - Ontario - MTM zone 11
2021|NAD27(76) / MTM zone 12|Canada - Ontario - MTM zone 12
2022|NAD27(76) / MTM zone 13|Canada - Ontario - MTM zone 13
2023|NAD27(76) / MTM zone 14|Canada - Ontario - 88.5°W to 85.5°W
2024|NAD27(76) / MTM zone 15|Canada - Ontario - 91.5°W to 88.5°W
2025|NAD27(76) / MTM zone 16|Canada - Ontario - 94.5°W to 91.5°W
2026|NAD27(76) / MTM zone 17|Canada - Ontario - west of 94.5°W
2027|NAD27(76) / UTM zone 15N|Canada - Ontario - west of 90°W
2028|NAD27(76) / UTM zone 16N|Canada - Ontario - 90°W to 84°W
2029|NAD27(76) / UTM zone 17N|Canada - Ontario - 84°W to 78°W
2030|NAD27(76) / UTM zone 18N|Canada - Ontario - east of 78°W
2031|NAD27(CGQ77) / UTM zone 17N|Canada - Quebec - west of 78°W
2032|NAD27(CGQ77) / UTM zone 18N|Canada - Quebec - 78°W to 72°W
2033|NAD27(CGQ77) / UTM zone 19N|Canada - Quebec - 72°W to 66°W
2034|NAD27(CGQ77) / UTM zone 20N|Canada - Quebec - 66°W to 60°W
2035|NAD27(CGQ77) / UTM zone 21N|Canada - Quebec - east of 60°W
2036|NAD83(CSRS98) / New Brunswick Stereo|Canada - New Brunswick
2037|NAD83(CSRS98) / UTM zone 19N|Canada - 72°W to 66°W, south of 62°N
2038|NAD83(CSRS98) / UTM zone 20N|Canada - 66°W to 60°W, south of 60°N
2039|Israel 1993 / Israeli TM Grid|Asia - Middle East - Israel and Palestine Territory onshore
2040|Locodjo 1965 / UTM zone 30N|Cote d&#39;Ivoire (Ivory Coast) - east of 6°W
2041|Abidjan 1987 / UTM zone 30N|Cote d&#39;Ivoire (Ivory Coast) - east of 6°W
2042|Locodjo 1965 / UTM zone 29N|Cote d&#39;Ivoire (Ivory Coast) - west of 6°W
2043|Abidjan 1987 / UTM zone 29N|Cote d&#39;Ivoire (Ivory Coast) - west of 6°W
2044|Hanoi 1972 / Gauss-Kruger zone 18|Vietnam - west of 108°E onshore
2045|Hanoi 1972 / Gauss-Kruger zone 19|Vietnam - east of 108°E onshore
2046|Hartebeesthoek94 / Lo15|Namibia - Walvis Bay
2047|Hartebeesthoek94 / Lo17|South Africa - west of 18°E
2048|Hartebeesthoek94 / Lo19|South Africa - 18°E to 20°E
2049|Hartebeesthoek94 / Lo21|South Africa - 20°E to 22°E
2050|Hartebeesthoek94 / Lo23|South Africa - 22°E to 24°E
2051|Hartebeesthoek94 / Lo25|South Africa - 24°E to 26°E
2052|Hartebeesthoek94 / Lo27|South Africa - 26°E to 28°E
2053|Hartebeesthoek94 / Lo29|South Africa - 28°E to 30°E
2054|Hartebeesthoek94 / Lo31|South Africa - 30°E to 32°E
2055|Hartebeesthoek94 / Lo33|South Africa - east of 32°E
2056|CH1903+ / LV95|Europe - Liechtenstein and Switzerland
2057|Rassadiran / Nakhl e Taqi|Iran - Taheri refinery
2058|ED50(ED77) / UTM zone 38N|Iran - west of 48°E
2059|ED50(ED77) / UTM zone 39N|Iran - 48°E to 54°E
2060|ED50(ED77) / UTM zone 40N|Iran - 54°E to 60°E
2061|ED50(ED77) / UTM zone 41N|Iran - east of 60°E onshore
2062|Madrid 1870 (Madrid) / Spain|Spain - mainland onshore
2063|Dabola 1981 / UTM zone 28N|Guinea - west of 12°W
2064|Dabola 1981 / UTM zone 29N|Guinea - east of 12°W
2065|S-JTSK (Ferro) / Krovak|Europe - Czechoslovakia
2066|Mount Dillon / Tobago Grid|Trinidad and Tobago - Tobago - onshore
2067|Naparima 1955 / UTM zone 20N|Trinidad and Tobago - Trinidad - onshore
2068|ELD79 / Libya zone 5|Libya - west of 10°E
2069|ELD79 / Libya zone 6|Libya - 10°E to 12°E onshore
2070|ELD79 / Libya zone 7|Libya - 12°E to 14°E onshore
2071|ELD79 / Libya zone 8|Libya - 14°E to 16°E onshore
2072|ELD79 / Libya zone 9|Libya - 16°E to 18°E onshore
2073|ELD79 / Libya zone 10|Libya - 18°E to 20°E onshore
2074|ELD79 / Libya zone 11|Libya - 20°E to 22°E onshore
2075|ELD79 / Libya zone 12|Libya - 22°E to 24°E onshore
2076|ELD79 / Libya zone 13|Libya - east of 24°E onshore
2077|ELD79 / UTM zone 32N|Libya - west of 12°E onshore
2078|ELD79 / UTM zone 33N|Libya - 12°E to 18°E onshore
2079|ELD79 / UTM zone 34N|Libya - 18°E to 24°E onshore
2080|ELD79 / UTM zone 35N|Libya - east of 24°E onshore
2081|Chos Malal 1914 / Argentina 2|Argentina - Neuquen province east of 70.5°W
2082|Pampa del Castillo / Argentina 2|Argentina - Comodoro Rivadavia - west of 67.5°W
2083|Hito XVIII 1963 / Argentina 2|Argentina - Tierra del Fuego onshore west of 67.5°W
2084|Hito XVIII 1963 / UTM zone 19S|Argentina - Tierra del Fuego offshore west of 66°W
2085|NAD27 / Cuba Norte|Cuba - onshore north of 21°30&#39;N
2086|NAD27 / Cuba Sur|Cuba - onshore south of 21°30&#39;N
2087|ELD79 / TM 12 NE|Libya - west of 15°E onshore
2088|Carthage / TM 11 NE|Tunisia - offshore
2089|Yemen NGN96 / UTM zone 38N|Yemen - 42°E to 48°E
2090|Yemen NGN96 / UTM zone 39N|Yemen - 48°E to 54°E
2091|South Yemen / Gauss Kruger zone 8|Yemen - South Yemen - mainland west of 48°E
2092|South Yemen / Gauss Kruger zone 9|Yemen - South Yemen - mainland east of 48°E
2093|Hanoi 1972 / GK 106 NE|Vietnam - onshore Vung Tau area
2094|WGS 72BE / TM 106 NE|Vietnam - offshore Cuu Long basin
2095|Bissau / UTM zone 28N|Guinea-Bissau - onshore
2096|Korean 1985 / East Belt|Korea, Republic of (South Korea) - east of 128°E onshore
2097|Korean 1985 / Central Belt|Korea, Republic of (South Korea) - 126°E to 128°E mainland
2098|Korean 1985 / West Belt|Korea, Republic of (South Korea) - 124°E to 126°E onshore
2099|Qatar 1948 / Qatar Grid|Qatar - onshore
2100|GGRS87 / Greek Grid|Greece - onshore
2101|Lake / Maracaibo Grid M1|Venezuela - Maracaibo area
2102|Lake / Maracaibo Grid|Venezuela - Maracaibo area
2103|Lake / Maracaibo Grid M3|Venezuela - Maracaibo area
2104|Lake / Maracaibo La Rosa Grid|Venezuela - Maracaibo - blocks I II and III
2105|NZGD2000 / Mount Eden 2000|New Zealand - North Island - Mount Eden mc
2106|NZGD2000 / Bay of Plenty 2000|New Zealand - North Island - Bay of Plenty mc
2107|NZGD2000 / Poverty Bay 2000|New Zealand - North Island - Poverty Bay mc
2108|NZGD2000 / Hawkes Bay 2000|New Zealand - North Island - Hawkes Bay mc Napier vcrs
2109|NZGD2000 / Taranaki 2000|New Zealand - North Island - Taranaki mc
2110|NZGD2000 / Tuhirangi 2000|New Zealand - North Island - Tuhirangi mc
2111|NZGD2000 / Wanganui 2000|New Zealand - North Island - Wanganui mc
2112|NZGD2000 / Wairarapa 2000|New Zealand - North Island - Wairarapa mc
2113|NZGD2000 / Wellington 2000|New Zealand - North Island - Wellington mc
2114|NZGD2000 / Collingwood 2000|New Zealand - South Island - Collingwood mc
2115|NZGD2000 / Nelson 2000|New Zealand - South Island - Nelson mc
2116|NZGD2000 / Karamea 2000|New Zealand - South Island - Karamea mc
2117|NZGD2000 / Buller 2000|New Zealand - South Island - Buller mc
2118|NZGD2000 / Grey 2000|New Zealand - South Island - Grey mc
2119|NZGD2000 / Amuri 2000|New Zealand - South Island - Amuri mc
2120|NZGD2000 / Marlborough 2000|New Zealand - South Island - Marlborough mc
2121|NZGD2000 / Hokitika 2000|New Zealand - South Island - Hokitika mc
2122|NZGD2000 / Okarito 2000|New Zealand - South Island - Okarito mc
2123|NZGD2000 / Jacksons Bay 2000|New Zealand - South Island - Jacksons Bay mc
2124|NZGD2000 / Mount Pleasant 2000|New Zealand - South Island - Mount Pleasant mc
